Timestamp,V,B,G,Y,O,R
1/2/2026 9:50:28,17.81,12.77,17.26,12.81,20.95,8.29
1/2/2026 9:50:36,53.42,48.23,35.67,56.17,50.88,58
1/2/2026 9:50:45,34.34,26.95,69.03,115.29,79.81,69.96
1/2/2026 9:50:55,17.81,12.77,29.92,26.6,24.94,11.97
1/2/2026 9:51:06,26.71,34.05,39.12,46.31,29.93,14.73
1/2/2026 9:51:16,22.9,25.53,33.37,37.44,24.94,11.97
1/2/2026 9:51:25,22.9,21.28,33.37,35.47,25.94,11.97
1/2/2026 9:51:36,22.9,18.44,29.92,30.55,23.94,11.97
1/2/2026 9:51:46,0,0,0,0,0,0.92
1/2/2026 9:51:57,0,0,0,0,0,0.92
1/2/2026 9:52:06,0,0,0,0,0,0.92
1/2/2026 9:52:17,0,0,0,0.99,4.99,15.65
1/2/2026 9:52:26,0,0,0,0,2,5.52
1/2/2026 9:52:36,254.4,83.7,27.61,45.33,22.95,19.33
1/2/2026 10:03:01,0,0,0,0.99,3.99,16.57
1/2/2026 10:03:08,0,0,0,0.99,2.99,13.81
1/2/2026 10:03:18,0,0,0,0,2.99,11.97
1/2/2026 10:03:30,0,0,0,0,2.99,11.05
1/2/2026 10:03:38,0,0,0,0,2,7.36
1/2/2026 10:06:07,29.26,15.6,19.56,21.68,27.94,18.41
1/2/2026 10:06:15,24.17,15.6,19.56,20.69,23.94,14.73
1/2/2026 10:06:24,29.26,17.02,20.71,21.68,26.94,18.41
1/2/2026 10:06:34,31.8,17.02,20.71,21.68,27.94,19.33
1/2/2026 10:06:45,27.98,15.6,19.56,20.69,25.94,17.49
1/2/2026 10:06:55,25.44,17.02,19.56,20.69,24.94,18.41
1/2/2026 10:07:05,31.8,15.6,19.56,20.69,25.94,17.49
1/2/2026 10:07:15,26.71,17.02,20.71,21.68,25.94,17.49
1/2/2026 10:07:26,29.26,15.6,19.56,20.69,25.94,17.49
1/2/2026 10:07:36,30.53,15.6,20.71,21.68,27.94,19.33
1/2/2026 10:07:46,26.71,18.44,19.56,20.69,24.94,20.25
1/2/2026 10:07:56,35.62,18.44,21.86,23.65,29.93,22.09
1/2/2026 10:08:06,27.98,17.02,20.71,22.66,27.94,20.25
1/2/2026 10:08:17,43.25,26.95,27.61,31.53,35.92,23.01
1/2/2026 10:08:28,47.06,29.79,28.76,33.5,36.91,27.62
1/2/2026 10:09:07,10772.41,16584.94,20341.07,25467.78,65383,60330.92
1/2/2026 10:09:15,10525.64,18301.45,23149.64,29382.64,65383,60330.92
1/2/2026 10:09:25,9406.3,16401.94,21774.7,27746.93,65383,60330.92
1/2/2026 10:21:27,873.85,943.37,385.44,594.18,692.39,967.54
1/2/2026 10:21:33,675.42,482.33,302.6,307.43,489.86,505.4
1/2/2026 10:21:40,5300.34,9203.92,12892.23,16677.33,53086.59,60330.92
1/2/2026 10:21:47,6022.83,11028.25,15387.83,19940.86,61233.64,60330.92
1/2/2026 10:21:54,7583.55,14325.09,19849.78,25628.39,65383,60330.92
1/2/2026 10:22:02,7603.9,12024.11,14829.8,19390.04,65383,60330.92
1/2/2026 10:22:09,7745.09,11357.37,14410.99,18553.46,63568.22,60330.92
1/2/2026 10:22:16,6016.47,11354.53,16188.64,22188.48,65383,60330.92
1/2/2026 10:22:23,8264.06,12859.67,15582.28,20242.38,65383,60330.92
1/2/2026 10:22:30,9132.82,15374.86,24951.44,30855.76,65383,60330.92
1/2/2026 10:22:37,13396.5,21246.48,26872.91,31923.9,65383,60330.92
1/2/2026 10:22:44,6583.77,10141.62,8343.99,11050.88,40533.77,60330.92
1/2/2026 10:22:51,5796.42,10056.51,12245.61,16936.48,63048.43,60330.92
1/2/2026 10:22:58,5141.35,8057.69,9521.04,12996,50337.98,60330.92
1/2/2026 10:23:04,969.25,346.14,1294.4,610.93,885.94,250.4
1/2/2026 10:23:11,1558.18,634.12,3001.86,1692.86,1834.73,409.66
1/2/2026 10:23:51,8517.18,15512.47,20548.18,27186.26,65383,60330.92
1/2/2026 10:23:58,8928.03,16542.38,23249.74,29817.19,65383,60330.92
1/2/2026 10:24:05,8154.67,14478.3,18319.51,24180.89,65383,60330.92
1/2/2026 10:24:12,8103.79,13804.47,18589.89,24161.18,65383,60330.92
1/2/2026 10:24:19,8493.02,14544.98,17921.41,23356.14,65383,60330.92
1/2/2026 10:24:26,7784.52,13648.42,17625.71,22772.8,65383,60330.92
1/2/2026 10:24:36,10820.74,16682.82,20412.41,25584.05,65383,60330.92
1/2/2026 10:24:42,10581.61,15787.68,18724.51,23480.3,65383,60330.92
1/2/2026 10:24:49,11080.23,17458.8,21793.11,27109.4,65383,60330.92
1/2/2026 10:24:56,26296.94,39567.79,59512.52,64575.99,65383,60330.92
1/2/2026 10:27:25,21156.86,19796.66,20082.2,23014.22,42555.07,49254.37
